"Spring_Year","temp_ssp126","temp_ssp585","temp"
1974,-13.9353846153846,-13.9346153846154,-20.4360927152318
1975,-14.7861538461538,-14.7753846153846,-15.4907284768212
1976,-14.4230769230769,-14.4369230769231,-18.9236842105263
1977,-14.1276923076923,-14.1330769230769,-8.51467991169978
1978,-14.3538461538462,-14.3623076923077,-17.6960264900662
1979,-13.6130769230769,-13.6053846153846,-16.6540838852097
1980,-14.22,-14.2161538461538,-13.4214912280702
1981,-13.6961538461538,-13.7061538461538,-12.0246136865342
1982,-13.2561538461538,-13.2507692307692,-18.7753863134658
1983,-15.1107692307692,-15.0915384615385,-16.7867549668874
1984,-13.53,-13.5153846153846,-14.8059210526316
1985,-14.1938461538462,-14.1823076923077,-15.1937086092715
1986,-14.7076923076923,-14.7007692307692,-14.8870860927152
1987,-14.6015384615385,-14.6069230769231,-12.3291390728477
1988,-14.5176923076923,-14.52,-13.7121710526316
1989,-13.6192307692308,-13.6123076923077,-18.2443708609272
1990,-12.8353846153846,-12.8061538461538,-16.65
1991,-13.8876923076923,-13.8753846153846,-18.1324503311258
1992,-14.9338461538462,-14.9307692307692,-14.1782894736842
1993,-14.3446153846154,-14.3430769230769,-15.5483443708609
1994,-14.2507692307692,-14.2530769230769,-14.3596026490066
1995,-15.3761538461538,-15.39,-16.3309050772627
1996,-15.0907692307692,-15.1084615384615,-18.4746162280702
1997,-15.2230769230769,-15.2415384615385,-16.9608167770419
1998,-13.4769230769231,-13.4884615384615,-13.1447571743929
1999,-13.4476923076923,-13.4153846153846,-18.0454194260486
2000,-14.3730769230769,-14.3730769230769,-12.6679824561404
2001,-14.2615384615385,-14.2961538461538,-11.7344370860927
2002,-13.4969230769231,-13.5261538461538,-16.2950483091787
2003,-13.1684615384615,-13.1615384615385,-12.6735099337748
2004,-13.3792307692308,-13.3738461538462,-15.3258223684211
2005,-13.1130769230769,-13.1176923076923,-12.1951434878587
2006,-13.9815384615385,-14,-13.9456953642384
2007,-13.6838461538462,-13.6792307692308,-17.5227373068433
2008,-13.3476923076923,-13.3484615384615,-15.4733552631579
2009,-13.3430769230769,-13.3315384615385,-17.3900662251656
2010,-12.9076923076923,-12.8923076923077,-12.3599337748344
2011,-13.4115384615385,-13.3992307692308,-15.6291390728477
2012,-13.3315384615385,-13.2561538461538,-14.1264254385965
2013,-13.1307692307692,-13.1223076923077,-16.6184326710817
2014,-12.7353846153846,-12.6884615384615,-15.1280905077263
2015,-12.7730769230769,-12.5153846153846,-13.4527041942605
2016,-13.2530769230769,-14.0284615384615,-11.0075657894737
2017,-13.9953846153846,-13.0484615384615,-16.0905077262693
2018,-13.3669230769231,-13.27,-15.0949227373068
2019,-12.5030769230769,-12.9007692307692,-12.901766004415
2020,-11.8676923076923,-12.38,-15.8354166666667
2021,-12.2892307692308,-12.6753846153846,-15.4126931567329
2022,-12.5523076923077,-12.4030769230769,-15.4598233995585
2023,-13.0015384615385,-12.8623076923077,-15.1297777777778
2024,-11.9869230769231,-12.3823076923077,-13.0289473684211
2025,-11.9738461538462,-12.7284615384615,-12.8608167770419
2026,-12.3430769230769,-13.4953846153846,-13.9844409040995
2027,-12.6938461538462,-12.6669230769231,-13.9380831799115
2028,-12.4253846153846,-11.4669230769231,-13.8917254557234
2029,-12.5392307692308,-12.0392307692308,-13.8453677315354
2030,-12.5223076923077,-12.4407692307692,-13.7990100073474
2031,-12.6523076923077,-12.2969230769231,-13.7526522831593
2032,-13.8453846153846,-12.5753846153846,-13.7062945589713
2033,-12.7561538461538,-13.6992307692308,-13.6599368347833
2034,-12.8492307692308,-12.5653846153846,-13.6135791105952
2035,-12.3315384615385,-12.5846153846154,-13.5672213864072
2036,-12.0261538461538,-10.3407692307692,-13.5208636622192
2037,-11.5707692307692,-12.3530769230769,-13.4745059380311
2038,-11.4138461538462,-12.2692307692308,-13.4281482138431
2039,-11.4030769230769,-11.4853846153846,-13.3817904896551
2040,-12.6661538461538,-10.4407692307692,-13.335432765467
2041,-12.8376923076923,-11.9969230769231,-13.289075041279
2042,-11.9869230769231,-12.21,-13.242717317091
2043,-11.9246153846154,-11.2692307692308,-13.1963595929029
2044,-10.9492307692308,-10.5938461538462,-13.1500018687149
2045,-12.42,-11.3969230769231,-13.1036441445269
2046,-11.0384615384615,-11.2484615384615,-13.0572864203388
2047,-11.0730769230769,-11.7215384615385,-13.0109286961508
2048,-11.5869230769231,-11.0023076923077,-12.9645709719628
2049,-12.2984615384615,-10.8561538461538,-12.9182132477747
2050,-12.0130769230769,-10.3953846153846,-12.8718555235867
2051,-11.2284615384615,-11.7284615384615,-12.8254977993987
2052,-11.06,-9.92846153846154,-12.7791400752106
2053,-11.2923076923077,-11.6584615384615,-12.7327823510226
2054,-11.8484615384615,-11.0838461538462,-12.6864246268346
2055,-11.2530769230769,-10.0838461538462,-12.6400669026465
2056,-12.0438461538462,-10.7576923076923,-12.5937091784585
2057,-12.4423076923077,-9.82384615384615,-12.5473514542705
2058,-11.8453846153846,-9.50461538461538,-12.5009937300824
2059,-11.4953846153846,-9.83307692307692,-12.4546360058944
2060,-11.7292307692308,-9.58076923076923,-12.4082782817064
2061,-11.0892307692308,-9.80307692307692,-12.3619205575183
2062,-11.4507692307692,-9.86692307692308,-12.3155628333303
2063,-10.8307692307692,-9.77230769230769,-12.2692051091423
2064,-11.5323076923077,-10.4769230769231,-12.2228473849543
2065,-11.3884615384615,-9.43923076923077,-12.1764896607662
2066,-11.9761538461538,-8.89307692307692,-12.1301319365782
2067,-11.1830769230769,-9.58307692307692,-12.0837742123902
2068,-11.3553846153846,-9.03692307692308,-12.0374164882021
2069,-11.3053846153846,-8.85769230769231,-11.9910587640141
2070,-12.1207692307692,-8.34769230769231,-11.9447010398261
