"Spring_Year","temp","snow","GDD","Year"
1961,-15.33,154,NA,NA
1962,-17.9655629139073,139.721854304636,638.9,1961
1963,-13.7226666666667,115.245033112583,661.55,1962
1964,-15.0394366197183,124.618421052632,707.45,1963
1965,-16.9920529801324,108.105960264901,645.4,1964
1966,-19.7261744966443,131.562913907285,652.4,1965
1967,-18.9314569536424,143.801324503311,682.55,1966
1968,-13.7615131578947,53.6973684210526,691.925,1967
1969,-20.4579470198675,127.483443708609,670.95,1968
1970,-12.5960264900662,123.403973509934,609.175,1969
1971,-18.4847682119205,116.264900662252,493.683333333333,1970
1972,-21.7888157894737,119.552631578947,642.2,1971
1973,-18.5476821192053,133.602649006623,667.275,1972
1974,-20.4360927152318,125.443708609272,498.616666666667,1973
1975,-15.4907284768212,101.986754966887,633.841666666667,1974
1976,-18.9236842105263,135.763157894737,611.966666666667,1975
1977,-8.51467991169978,11.2185430463576,643.95,1976
1978,-17.6960264900662,40.794701986755,711.416666666667,1977
1979,-16.6540838852097,89.7483443708609,688.675,1978
1980,-13.4214912280702,80.0394736842105,740.391666666667,1979
1981,-12.0246136865342,76.4900662251656,678.2,1980
1982,-18.7753863134658,84.6490066225166,700.783333333333,1981
1983,-16.7867549668874,92.8079470198675,689.3,1982
1984,-14.8059210526316,2.02631578947368,673.441666666667,1983
1985,-15.1937086092715,49.9735099337748,557.775,1984
1986,-14.8870860927152,23.4569536423841,582.175,1985
1987,-12.3291390728477,14.2781456953642,596.95,1986
1988,-13.7121710526316,31.4078947368421,648.475,1987
1989,-18.2443708609272,35.6953642384106,650,1988
1990,-16.65,112.185430463576,889.95,1989
1991,-18.1324503311258,137.682119205298,836,1990
1992,-14.1782894736842,119.552631578947,726,1991
1993,-15.5483443708609,69.3509933774834,660.125,1992
1994,-14.3596026490066,26.5165562913907,845.358333333333,1993
1995,-16.3309050772627,36.7152317880795,814.970833333333,1994
1996,-18.4746162280702,117.526315789474,871.716666666667,1995
1997,-16.9608167770419,4.0794701986755,611.25,1996
1998,-13.1447571743929,113.205298013245,851.2875,1997
1999,-18.0454194260486,104.026490066225,739.466666666666,1998
2000,-12.6679824561404,78.0131578947368,744.404166666666,1999
2001,-11.7344370860927,36.7152317880795,609.691666666667,2000
2002,-16.2950483091787,41.5555555555556,738.875,2001
2003,-12.6735099337748,34.9066666666667,679.258333333334,2002
2004,-15.3258223684211,122.592105263158,665.804166666667,2003
2005,-12.1951434878587,88.728476821192,939.583333333333,2004
2006,-13.9456953642384,1.01986754966887,876.183333333334,2005
2007,-17.5227373068433,112.933333333333,726.308333333333,2006
2008,-15.4733552631579,24.0952380952381,776.6,2007
2009,-17.3900662251656,88.6027397260274,619.95,2008
2010,-12.3599337748344,59.2307692307692,767.35,2009
2011,-15.6291390728477,130.794520547945,753.15,2010
2012,-14.1264254385965,60.2,661.275,2011
2013,-16.6184326710817,154,657.733333333334,2012
2014,-15.1280905077263,38.7549668874172,852.783333333334,2013
2015,-13.4527041942605,61.1920529801324,722.0375,2014
2016,-11.0075657894737,3.03947368421053,809.575,2015
2017,-16.0905077262693,121.364238410596,881.55,2016
2018,-15.0949227373068,46.9139072847682,753.866666666667,2017
2019,-12.901766004415,16.7619047619048,746.241666666666,2018
2020,-15.8354166666667,70.8175182481752,918.358333333333,2019
2021,-15.4126931567329,117.496296296296,696.641666666667,2020
2022,-15.4598233995585,105.809523809524,735.333333333333,2021
2023,-15.1297777777778,134.622516556291,768,2022
2024,-13.0289473684211,106.381578947368,865.2,2023
2025,-12.8608167770419,130.543046357616,755.391666666667,2024
