"Year","sp_hare","sp_redback","sp_mice"
1973,NA,NA,NA
1974,NA,1.245551601,NA
1975,NA,0.889679715,NA
1976,NA,1.601423488,1.52
1977,0.14,0.617,1.71
1978,0.195,0.973,3.15
1979,0.562,0.973,2.37
1980,2.472,1.583113456,2.32
1981,1.625,0.841500137,3.01
1982,0.43,0.355871886,2.47
1983,0.12,0.84460261,4.83
1984,0.193,9.77,3.07
1985,0.19,0.711743772,1.88
1986,0.199,0.986,2.44
1987,0.143,2.272650059,3.59
1988,0.557,1.712799526,3.29
1989,1.038,2.916979241,0.53
1990,1.299,1.1777172,1.77
1991,0.765,1.96862242,0.55
1992,0.236,3.784935469,1.42
1993,0.048,2.295228351,0.5
1994,0.072,2.260284935,0.28
1995,0.094,0.059311981,0.69
1996,0.416,0.533807829,1.72
1997,0.663,1.788223962,0.76
1998,1.533,2.704759075,1.37
1999,1.193,1.757166667,0.75
2000,0.168,0.240478648,1.38
2001,0.034,1.535766667,0.88
2002,0.017,8.0073,3.4
2003,0.092,0.154211151,1.14
2004,0.139,0.76389917,0.48
2005,0.245,2.254933333,1.65
2006,0.799,0.975578648,1.53
2007,0.613,0.942931791,1.58
2008,0.262,3.254433333,4.18
2009,0.276,4.156566667,3.15
2010,0.071,0.8571,1.72
2011,0.071,0.989076153,0.89
2012,0.033,1.2518,2.59
2013,0.143,3.346666667,2.57
2014,0.188,2.073333333,3.43
2015,0.491,0.355871886,0.35
2016,0.891,0.59,0.84
2017,1.221,4.14,1.74
2018,0.577,2.9,2.62
2019,0.194,0.24,0.7
2020,0.129,1.36,2.23
2021,0.11,3.44,4.43
2022,0.047,2.27,2.56
2023,0.151,3.12,1.48
2024,0.357,0.27,1.57
2025,1.005,0.73,2.14
