Eartag,Weight,Sex,Date,Year,Month,DofY,temp,snow,GDD
50052,1500,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50063,1350,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50080,1910,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50273,1675,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50099,1350,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50100,1550,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50115,1950,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50138,1360,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50143,1600,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50147,1425,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50149,1625,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50152,1500,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50155,1310,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50256,1500,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50257,1610,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50259,1400,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50269,1635,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50307,1435,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50312,1860,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50338,1610,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50340,1410,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50346,1425,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50376,1535,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50377,1925,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50411,1425,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50412,1260,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50418,1660,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50419,1410,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50437,1725,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50438,1735,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50440,1610,1,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50441,1460,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50451,1910,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50452,1860,2,1978-05-01,1978,5,121,-17.69602649,40.79470199,711.4166667
50077,1830,2,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
50258,1520,1,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
50259,1370,1,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
50272,1630,2,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
50501,1545,2,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
50649,1370,2,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
50758,1320,2,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
50766,1370,1,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
50876,1480,2,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
51282,1520,1,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
51284,1310,1,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
51285,1370,2,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
51376,1410,2,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
51377,1300,1,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
51378,1060,1,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
51474,1060,1,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
51475,1230,2,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
51476,1470,1,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
51477,1420,2,1979-04-16,1979,4,106,-16.65408389,89.74834437,688.675
