Eartag,Weight,Sex,Date,Year,Month,DofY,temp,snow,GDD
3945,31,2,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
3994,24.5,1,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
3995,23,2,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
3996,22.5,2,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
3920,26,1,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
948,29,1,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
847,24,1,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
1566,22,1,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
848,26,1,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
2167,25.5,1,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
2163,22.5,2,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
2162,26,1,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
9588,24,2,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
2189,22,2,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
3932,24,2,2016-05-15,2016,5,136,-11.00756579,3.039473684,809.575
3933,24,1,2016-05-15,2016,5,136,-11.00756579,3.039473684,809.575
3708,22,2,2007-05-21,2007,5,141,-17.52273731,112.9333333,726.3083333
3461,24.5,2,2007-05-21,2007,5,141,-17.52273731,112.9333333,726.3083333
3491,28,2,2011-05-16,2011,5,136,-15.62913907,130.7945205,753.15
2146,28.5,1,2011-05-16,2011,5,136,-15.62913907,130.7945205,753.15
334,29,2,2011-05-16,2011,5,136,-15.62913907,130.7945205,753.15
2147,23.5,1,2011-05-16,2011,5,136,-15.62913907,130.7945205,753.15
2149,30,2,2011-05-16,2011,5,136,-15.62913907,130.7945205,753.15
3014,23.5,1,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
2495,26,1,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
3017,25,2,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
3018,27.5,1,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
3020,25.5,1,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
3491,27.7,2,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
3095,23.5,1,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
3096,22,2,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
8970,30.5,1,2006-05-16,2006,5,136,-13.94569536,1.01986755,876.1833333
8924,23.2,2,2006-05-16,2006,5,136,-13.94569536,1.01986755,876.1833333
8971,25.7,2,2006-05-16,2006,5,136,-13.94569536,1.01986755,876.1833333
1858,29,1,2006-05-16,2006,5,136,-13.94569536,1.01986755,876.1833333
8911,27,1,2006-05-16,2006,5,136,-13.94569536,1.01986755,876.1833333
8974,24.5,1,2006-05-16,2006,5,136,-13.94569536,1.01986755,876.1833333
2725,29,1,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
9554,23.5,2,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
9557,21,2,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
4251,28,1,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
1761,25,2,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
4241,22.5,2,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
1795,21,2,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
9552,23.5,1,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
1736,26,1,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
