Eartag,Weight,Sex,Date,Year,Month,DofY,temp,snow,GDD
16596,21,2,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
16581,21,2,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
16518,23.5,1,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
16571,27,1,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
16507,25.5,1,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
3991,24.5,1,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
3992,23,2,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
3993,22.5,1,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
16506,24,1,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
16592,25,1,2017-05-16,2017,5,136,-16.09050773,121.3642384,881.55
849,26.5,1,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
850,25,1,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
851,25,1,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
2166,22,2,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
2165,28.5,1,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
2164,23,1,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
2458,22,2,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
2184,20.5,2,2012-05-12,2012,5,133,-14.12642544,60.2,661.275
4469,23.5,1,2007-05-21,2007,5,141,-17.52273731,112.9333333,726.3083333
4457,22,2,2007-05-21,2007,5,141,-17.52273731,112.9333333,726.3083333
2171,21,1,2011-05-16,2011,5,136,-15.62913907,130.7945205,753.15
2764,20.5,2,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
3016,24,1,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
3097,23.5,2,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
3099,24.5,1,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
3036,24,1,2010-05-17,2010,5,137,-12.35993377,59.23076923,767.35
8967,27.8,1,2006-05-16,2006,5,136,-13.94569536,1.01986755,876.1833333
8968,18.6,2,2006-05-16,2006,5,136,-13.94569536,1.01986755,876.1833333
8969,24.7,1,2006-05-16,2006,5,136,-13.94569536,1.01986755,876.1833333
8973,27.1,1,2006-05-16,2006,5,136,-13.94569536,1.01986755,876.1833333
8977,28.3,2,2006-05-16,2006,5,136,-13.94569536,1.01986755,876.1833333
2724,33,2,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
2726,22,2,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
1796,28,2,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
2728,21,2,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
9942,30.5,2,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
7194,25.5,1,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
7195,26,1,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
7197,28.5,1,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
7200,25.5,1,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
9943,27.5,1,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
9944,27.5,1,2013-05-19,2013,5,139,-16.61843267,154,657.7333333
2664,22,1,2015-05-24,2015,5,144,-13.45270419,61.19205298,722.0375
147,23.5,2,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
150,27,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
161,28,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
186,23.5,2,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
216,25.9,2,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
217,25.6,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
218,27.3,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
219,25.8,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
221,27.4,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
222,28.4,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
223,29.8,2,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
228,25.5,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
286,22.5,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
287,21.5,2,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
292,25.5,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
293,21.5,2,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
294,29,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
295,25,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
296,30,1,2009-05-16,2009,5,136,-17.39006623,88.60273973,619.95
